ensembl_gene_id,external_gene_name,entrezgene_id,hgnc_symbol,logFC_rna,padj_rna,CpG_Beta_diff,padj_meth,logFC_protein,padj_protein,Regulation_Grouping_2
ENSG00000000003,TSPAN6,7105.0,TSPAN6,-0.867335474872303,3.45324208447787e-05,-0.0356757296832629,2.15054367872448e-06,-0.536484999999998,3.23196383226107e-05,TMDS
ENSG00000000005,0,0.0,0,-1.04704920300811,0.0425651003240218,-0.0356757296832629,4.46613918437601e-08,0.0,1.0,TPDS_TMDE
ENSG00000000938,FGR,2268.0,FGR,1.81908979503593,4.37518123380856e-10,0.0,1.0,0.395027574019094,0.0239535516118688,TPDE_TMDS
ENSG00000000971,CFH,3075.0,CFH,1.86123690999172,1.88191485863864e-08,-0.0356757296832629,4.22036980645022e-18,-0.136334306052463,0.50743298517335,TPDE_TMDS
ENSG00000001626,CFTR,1080.0,CFTR,-1.76492174730797,0.0001034126011581,-0.0356757296832629,5.94382790229954e-13,0.365019026397308,0.0878265107663898,TPDS_TMDE
ENSG00000001630,CYP51A1,1595.0,CYP51A1,-0.475349953345203,0.0118640446884743,-0.0356757296832629,0.0001614836864942,-0.651005195319215,2.53331730951886e-06,TMDS
ENSG00000002746,HECW1,23072.0,HECW1,-3.70054793143863,5.17255244184205e-12,-0.0356757296832629,5.0124535761531005e-22,-0.795053467864381,0.0017044596671531,TPDS
ENSG00000003096,KLHL13,90293.0,KLHL13,-2.16142020872036,4.94397507352534e-15,-0.0356757296832629,1.54422365842725e-06,-0.384920055028613,0.0001327533822488,TPDS_TMDE
ENSG00000003137,0,0.0,0,-1.21925196797303,0.0031070477334496,-0.0356757296832629,7.49858139415847e-13,0.0,1.0,TPDS_TMDE
ENSG00000003989,SLC7A2,6542.0,SLC7A2,1.33824977632424,0.0046731592680445,-0.0356757296832629,8.62971640749644e-12,-0.0148633333333321,0.687813015669514,TPDE_TMDS
ENSG00000004399,PLXND1,23129.0,PLXND1,1.78997859684272,2.14455983257357e-19,0.0,1.0,0.51196,7.93745325399568e-06,TPDE
ENSG00000004455,AK2,204.0,AK2,-0.0062931837222964,0.973752774804408,-0.0356757296832629,3.9144531426311394e-12,-0.501554568776337,0.0002827249060994,TMDS
