epoch,loss,val_loss
0,0.8750923275947571,0.7664857506752014
1,0.7124758362770081,0.7047114968299866
2,0.6750238537788391,0.6789267659187317
3,0.6572656035423279,0.6621636748313904
4,0.640784740447998,0.6479485034942627
5,0.6304970979690552,0.6423870325088501
6,0.6258130669593811,0.6366457343101501
7,0.6218337416648865,0.6343620419502258
8,0.6207880973815918,0.632972776889801
9,0.6177679896354675,0.6316590905189514
10,0.6181474328041077,0.6293917298316956
11,0.6166943311691284,0.6284695863723755
12,0.6153571605682373,0.6289964914321899
13,0.6146844029426575,0.6267325282096863
14,0.6142628192901611,0.6261597871780396
15,0.6123580932617188,0.6267311573028564
16,0.613475501537323,0.6245630979537964
17,0.611879825592041,0.6241545081138611
18,0.6119518876075745,0.6249794363975525
19,0.6110468506813049,0.6257193684577942
20,0.6105611324310303,0.6247662901878357
21,0.609794020652771,0.6220698356628418
22,0.609472393989563,0.6226609945297241
23,0.6089227795600891,0.6236952543258667
24,0.6093294620513916,0.6223355531692505
25,0.6086150407791138,0.6223985552787781
26,0.6079494953155518,0.6223558783531189
27,0.6077592372894287,0.621616005897522
28,0.6075504422187805,0.6211037635803223
29,0.6066144108772278,0.6200891733169556
30,0.6066485047340393,0.6203483939170837
31,0.6063586473464966,0.6219351291656494
32,0.6052817106246948,0.6203015446662903
33,0.6073519587516785,0.6196451187133789
34,0.6062238812446594,0.6190744042396545
35,0.6062970757484436,0.619704008102417
