epoch,loss,val_loss
0,0.7523761987686157,0.5576226711273193
1,0.4789135158061981,0.4410049617290497
2,0.4319065809249878,0.42428746819496155
3,0.4174180030822754,0.41019731760025024
4,0.41133826971054077,0.3998502194881439
5,0.40312501788139343,0.3975791931152344
6,0.4007684886455536,0.39292100071907043
7,0.40074747800827026,0.38861164450645447
8,0.3960683345794678,0.39181214570999146
9,0.3988643288612366,0.388118714094162
10,0.39475736021995544,0.38965222239494324
11,0.3946250379085541,0.3884055018424988
12,0.3931034207344055,0.38731303811073303
13,0.3938824236392975,0.39278173446655273
14,0.3930720090866089,0.38484424352645874
15,0.3939848244190216,0.3870878517627716
16,0.39545512199401855,0.3865661323070526
17,0.3906635046005249,0.3855433762073517
18,0.3926277756690979,0.3861860930919647
19,0.39361074566841125,0.3895571827888489
20,0.39299464225769043,0.3832668662071228
0,0.7293853759765625,0.5757028460502625
1,0.5418627858161926,0.5065240859985352
2,0.49224525690078735,0.48002690076828003
3,0.4732803702354431,0.4618644118309021
4,0.4606510102748871,0.45075735449790955
5,0.44924789667129517,0.44156739115715027
6,0.4437272846698761,0.43582743406295776
7,0.4399365186691284,0.4281642436981201
8,0.4321885406970978,0.4261840879917145
9,0.43062978982925415,0.4241793751716614
10,0.4258982837200165,0.42293667793273926
11,0.43018394708633423,0.41741034388542175
12,0.4236733913421631,0.41775110363960266
13,0.41855236887931824,0.41210249066352844
14,0.41833359003067017,0.41210418939590454
15,0.4154731333255768,0.41054800152778625
16,0.41574013233184814,0.4113299250602722
17,0.41301798820495605,0.4072055518627167
18,0.4132596254348755,0.40890899300575256
19,0.41401010751724243,0.40556031465530396
20,0.41097328066825867,0.4026698172092438
21,0.41058146953582764,0.4055396318435669
22,0.4067196249961853,0.4022510051727295
23,0.40553155541419983,0.40278497338294983
24,0.40707969665527344,0.3989890515804291
25,0.406532883644104,0.39913806319236755
26,0.4065186381340027,0.40008601546287537
