gene_name,entrezgene_id,padj,Log2FC,absLogFC
C8G,733,0.999129636,7.7e-05,7.7e-05
FGG,2266,0.998430541,-0.000182576,0.000182576
EIF4G2,1982,0.983240466,-0.000370134,0.000370134
SAA2-SAA4,100528017,0.997476042,0.000450078,0.000450078
SIRT1,23411,0.98784651,0.000467465,0.000467465
MED20,9477,0.986233516,0.00047045,0.00047045
OGFOD1,55239,0.988311591,0.000482881,0.000482881
HERC1,8925,0.974060095,-0.000710974,0.000710974
ZC3H7A,29066,0.971074263,0.000797804,0.000797804
GMPPA,29926,0.98031642,0.000877994,0.000877994
SYNJ2,8871,0.985321071,0.00093209,0.00093209
CUL5,8065,0.968330066,0.000955044,0.000955044
DESI1,27351,0.977297154,-0.000989532,0.000989532
HLCS,3141,0.97145193,0.001079522,0.001079522
CDYL,9425,0.970711995,0.00108276,0.00108276
POTEJ,653781,0.978206184,-0.001166121,0.001166121
DCUN1D4,23142,0.973369417,0.001179598,0.001179598
POU3F4,5456,0.984159133,0.001228134,0.001228134
CAMK4,814,0.97905674,0.001254101,0.001254101
PER1,5187,0.972001045,0.00129957,0.00129957
BANP,54971,0.978206184,-0.001301005,0.001301005
PPIL4,85313,0.947810841,0.001504182,0.001504182
ARHGAP44,9912,0.971679783,-0.001522228,0.001522228
PPP2R5E,5529,0.95349949,0.001530536,0.001530536
ABCF2,10061,0.946220659,0.00165925,0.00165925
SLC25A32,81034,0.979631538,-0.001674518,0.001674518
CASTOR2,729438,0.969423686,-0.001705168,0.001705168
KIF3B,9371,0.944825924,-0.001724663,0.001724663
PUM2,23369,0.929444896,0.001757053,0.001757053
U2SURP,23350,0.935422059,0.001799399,0.001799399
UGP2,7360,0.962285045,0.001821973,0.001821973
PLCB3,5331,0.941049579,0.001830578,0.001830578
PDE4D,5144,0.963732149,-0.001851062,0.001851062
THRAP3,9967,0.943455665,-0.001856011,0.001856011
TPM3,7170,0.95524407,-0.001858654,0.001858654
HDAC1,3065,0.948794439,-0.001911343,0.001911343
YIPF3,25844,0.96174894,-0.001967029,0.001967029
CDC42EP1,11135,0.965887503,-0.001991221,0.001991221
AGO3,192669,0.92604636,0.002028352,0.002028352
YTHDC1,91746,0.943837511,0.002060058,0.002060058
DST,667,0.967156216,0.002092507,0.002092507
NEDD9,4739,0.957756674,-0.002128847,0.002128847
POLR2G,5436,0.924053094,0.002131146,0.002131146
ACIN1,22985,0.935422059,0.00213439,0.00213439
PGS1,9489,0.954324857,0.002157666,0.002157666
PNN,5411,0.930718324,-0.002171824,0.002171824
MOB1A,55233,0.938369237,0.002209721,0.002209721
STX5,6811,0.938647631,0.002236365,0.002236365
CDKN1B,1027,0.964108711,0.002243576,0.002243576
RALA,5898,0.949825312,0.00231251,0.00231251
PPP2R5A,5525,0.936807981,-0.002337396,0.002337396
MRI1,84245,0.963732149,-0.002412181,0.002412181
LAMP2,3920,0.954324857,0.002544604,0.002544604
SHTN1,57698,0.951096229,0.002577221,0.002577221
ING4,51147,0.929444896,0.002615509,0.002615509
RBM14,10432,0.900131927,-0.002659593,0.002659593
PPP2R5C,5527,0.902534103,0.00268037,0.00268037
ATP13A1,57130,0.944825924,-0.002726599,0.002726599
EIF4ENIF1,56478,0.916210569,0.002754098,0.002754098
DHFR,1719,0.968711488,0.002761874,0.002761874
KDM8,79831,0.91357962,0.002812518,0.002812518
SAA2,6289,0.990239001,0.002943737,0.002943737
TTC37,9652,0.894956017,-0.002955037,0.002955037
C1R,715,0.972001045,0.002956145,0.002956145
THOC5,8563,0.88111412,-0.003017183,0.003017183
KIF3A,11127,0.915555344,-0.003126313,0.003126313
HERC5,51191,0.952359357,0.003170066,0.003170066
HMGB1,3146,0.924385921,0.003228131,0.003228131
HMOX2,3163,0.944548417,-0.003245938,0.003245938
PPP2R2B,5521,0.938710334,0.003289013,0.003289013
DCAF7,10238,0.845921216,0.003370016,0.003370016
DYNC2H1,79659,0.926444259,-0.003381525,0.003381525
CDC73,79577,0.871909888,-0.003445122,0.003445122
SF3B2,10992,0.85858122,-0.003457949,0.003457949
FBXO38,81545,0.907848402,-0.003461836,0.003461836
MAP2K7,5609,0.885739586,0.003477648,0.003477648
NUDC,10726,0.88327182,0.003489706,0.003489706
GTF3C3,9330,0.862988645,-0.003506249,0.003506249
VTI1A,143187,0.91404163,0.003510492,0.003510492
CHORDC1,26973,0.907633452,0.003533648,0.003533648
NACC1,112939,0.891751573,-0.003544616,0.003544616
ARAF,369,0.875092322,0.003649625,0.003649625
TCHP,84260,0.893624977,-0.003659381,0.003659381
ACTR10,55860,0.845475514,-0.003689977,0.003689977
CPSF2,53981,0.840577789,-0.003735577,0.003735577
CSNK2B,1460,0.906225268,0.003795588,0.003795588
RBBP9,10741,0.914515831,-0.003813958,0.003813958
TRAF6,7189,0.844552421,-0.003952272,0.003952272
PTK2,5747,0.893811876,0.003974787,0.003974787
TMBIM6,7009,0.956011454,0.004094195,0.004094195
ZBTB10,65986,0.929952182,-0.004219688,0.004219688
SGTA,6449,0.85801328,-0.004279398,0.004279398
ARID1A,8289,0.840955641,0.004335603,0.004335603
PLEKHG2,64857,0.953667814,0.004362727,0.004362727
NAGPA,51172,0.944825924,-0.004378702,0.004378702
BIRC6,57448,0.785701485,-0.004730014,0.004730014
STRN,6801,0.798547315,0.004749371,0.004749371
CEP152,22995,0.92181717,0.004752777,0.004752777
CEP41,95681,0.877606994,-0.004921982,0.004921982
NXF1,10482,0.800668589,-0.004922039,0.004922039
ACYP2,98,0.920049932,0.004978014,0.004978014
EIF3D,8664,0.810424844,-0.004981988,0.004981988
SEPHS1,22929,0.8207696,-0.005036912,0.005036912
MCRIP1,348262,0.849776876,-0.005085069,0.005085069
GTF3C4,9329,0.81048712,0.005128158,0.005128158
PIK3CA,5290,0.789824956,0.005217665,0.005217665
DDX5,1655,0.784508959,0.005274289,0.005274289
RPS12,6206,0.91357962,-0.005358188,0.005358188
ZMYM4,9202,0.860215769,0.00541202,0.00541202
RSF1,51773,0.837837702,0.005491982,0.005491982
CSNK1E,1454,0.783458567,0.005493449,0.005493449
NSMCE1,197370,0.852178164,0.005498808,0.005498808
FEM1B,10116,0.895296811,0.00552798,0.00552798
HGFAC,3083,0.93207668,0.005619679,0.005619679
ZCCHC17,51538,0.863528632,-0.005629608,0.005629608
ERP44,23071,0.843605167,-0.005674676,0.005674676
RAB18,22931,0.891516791,0.00572409,0.00572409
RPS3,6188,0.831989321,0.005751541,0.005751541
ZNF830,91603,0.855996408,0.00576478,0.00576478
RAB3IP,117177,0.905203444,0.005791355,0.005791355
TARDBP,23435,0.794284289,-0.005871246,0.005871246
GTF3C5,9328,0.76271275,0.005895294,0.005895294
SGF29,112869,0.841255209,0.005899442,0.005899442
DRG2,1819,0.79394811,0.005905734,0.005905734
SPOUT1,51490,0.888706756,-0.005945134,0.005945134
GC,2638,0.945446655,-0.005957112,0.005957112
ELMO3,79767,0.899378879,-0.005971391,0.005971391
KTI12,112970,0.795527776,0.006002194,0.006002194
ZBTB14,7541,0.891970513,-0.006074375,0.006074375
TRMT1L,81627,0.793184528,0.006129739,0.006129739
PCBP3,54039,0.803632598,0.006169865,0.006169865
PLXNB2,23654,0.799038611,0.006182654,0.006182654
BAG5,9529,0.85960956,-0.006238788,0.006238788
ARHGEF18,23370,0.755222944,-0.006335372,0.006335372
ZNF688,146542,0.91357962,-0.006339485,0.006339485
SMARCE1,6605,0.793878333,0.006349355,0.006349355
KLC2,64837,0.833145533,0.006386258,0.006386258
JMJD8,339123,0.894038767,0.006398718,0.006398718
METTL3,56339,0.805189481,0.00641136,0.00641136
C4BPB,725,0.943747054,-0.006424224,0.006424224
GSTA4,2941,0.928822924,-0.006541875,0.006541875
MBD2,8932,0.789824956,-0.006558098,0.006558098
ZC3H7B,23264,0.733825268,-0.006759672,0.006759672
NXN,64359,0.930705063,0.00676405,0.00676405
GOLGA7,51125,0.866076791,0.006866357,0.006866357
ZFYVE19,84936,0.834075987,0.006899415,0.006899415
RANBP9,10048,0.777162053,-0.006908147,0.006908147
PARP2,10038,0.857788678,0.006917262,0.006917262
FETUB,26998,0.937406685,-0.006968898,0.006968898
UNK,85451,0.836022808,-0.007058385,0.007058385
CPTP,80772,0.812528838,0.007087476,0.007087476
UBE3B,89910,0.835890806,-0.007138238,0.007138238
DNM3,26052,0.754701481,0.007178211,0.007178211
CHMP2A,27243,0.782092505,-0.00728681,0.00728681
CNST,163882,0.838307065,0.007418822,0.007418822
EIF3F,8665,0.687301273,0.007476367,0.007476367
PRSS3,5646,0.907467766,-0.007524226,0.007524226
AEBP1,165,0.934127047,0.007566433,0.007566433
PPP1R12A,4659,0.826213004,0.007588934,0.007588934
MORF4L1,10933,0.792532471,-0.007643152,0.007643152
RBL2,5934,0.732177297,0.007674358,0.007674358
SRSF11,9295,0.71496612,-0.007700039,0.007700039
RRAGB,10325,0.828381287,0.007719171,0.007719171
YRDC,79693,0.814807949,-0.007757864,0.007757864
PDS5B,23047,0.762911988,-0.00779522,0.00779522
PIN4,5303,0.806849128,-0.007960187,0.007960187
MAST4,375449,0.817422003,0.007980965,0.007980965
SYNE1,23345,0.797007776,-0.008005015,0.008005015
MON2,23041,0.703876613,0.008008128,0.008008128
EIF2A,83939,0.716189702,-0.008086197,0.008086197
SRSF3,6428,0.710131793,-0.008117231,0.008117231
SF3B4,10262,0.716213866,-0.008260833,0.008260833
CHD3,1107,0.728198811,-0.008325341,0.008325341
WDR77,79084,0.719915757,0.008338913,0.008338913
TBCEL,219899,0.77679067,0.008351785,0.008351785
XRCC1,7515,0.710727622,0.008385212,0.008385212
CNN3,1266,0.844672585,-0.008386959,0.008386959
UPF3B,65109,0.720279574,0.008388048,0.008388048
RWDD4,201965,0.801434225,-0.008460238,0.008460238
IMPACT,55364,0.752022171,-0.008558696,0.008558696
DHX37,57647,0.702602212,-0.008642066,0.008642066
PGRMC1,10857,0.882440238,-0.008669093,0.008669093
GSTP1,2950,0.890275568,0.008728538,0.008728538
NUDT16,131870,0.788336847,0.008784834,0.008784834
ATF1,466,0.858159685,-0.008790178,0.008790178
FIZ1,84922,0.834357495,-0.008871245,0.008871245
MCL1,4170,0.839964898,-0.008906071,0.008906071
USP9X,8239,0.652429439,0.008982118,0.008982118
APOM,55937,0.929240672,0.009033686,0.009033686
SNRNP70,6625,0.708017578,0.009035846,0.009035846
VKORC1L1,154807,0.915555344,-0.009073344,0.009073344
SFPQ,6421,0.678292635,0.009093359,0.009093359
CBR3,874,0.803461706,-0.009108989,0.009108989
TMEM102,284114,0.821845073,-0.009111291,0.009111291
GNB4,59345,0.760011618,-0.00912957,0.00912957
PPP2R1A,5518,0.596770545,0.009184575,0.009184575
RPP40,10799,0.769517484,0.009223034,0.009223034
SLC7A5,8140,0.941984252,0.009399853,0.009399853
SAP18,10284,0.691192855,-0.009476933,0.009476933
ZZEF1,23140,0.591562773,0.009488993,0.009488993
ZMIZ1,57178,0.671689316,-0.009576511,0.009576511
ACP5,54,0.91357962,0.009602349,0.009602349
DUS3L,56931,0.739766661,-0.009701497,0.009701497
MTMR9,66036,0.681861687,0.009716653,0.009716653
EPG5,57724,0.75290381,-0.009758013,0.009758013
TECPR2,9895,0.799038611,0.00979294,0.00979294
DDA1,79016,0.739148168,-0.009800208,0.009800208
