gene_name,entrezgene_id,padj,Log2FC,absLogFC
MTHFR,4524,0.049699754,-0.122997568,0.122997568
NUTM2B-AS1,101060691,0.139937465,-0.123013639,0.123013639
PER3,8863,0.262666052,-0.123129175,0.123129175
PRPF39,55015,0.003821134,0.123157997,0.123157997
MIR4500HG,642345,0.694001795,0.123176853,0.123176853
PGBD2,267002,0.011858087,0.123185791,0.123185791
MAK,4117,0.103688438,0.12324275,0.12324275
NOL11,25926,0.000141962,0.123258846,0.123258846
PCID2,55795,0.000603776,0.123284158,0.123284158
ZMIZ2,83637,0.049359745,-0.12330495,0.12330495
STK32C,282974,0.048094294,0.123325454,0.123325454
UBIAD1,29914,0.001128772,-0.123327101,0.123327101
LINC00504,201853,0.29945046,-0.123329243,0.123329243
TET2,54790,0.000826842,0.123408264,0.123408264
MRPL45,84311,0.002619552,0.123433061,0.123433061
DHPS,1725,0.012249209,0.123467328,0.123467328
ZFP92,139735,0.280104724,-0.123481066,0.123481066
RTL6,84247,0.007501005,-0.123515049,0.123515049
KANSL3,55683,0.000419465,-0.12356587,0.12356587
TMEM256,254863,0.105657711,-0.123616784,0.123616784
SOX8,30812,0.517086702,0.123626688,0.123626688
ZBTB20-AS1,100131117,0.070562606,-0.123672215,0.123672215
METTL17,64745,0.004597203,0.123687086,0.123687086
ZNF404,342908,0.266957048,-0.123700463,0.123700463
EXOC7,23265,0.000111715,0.12372796,0.12372796
EXOC2,55770,0.000910121,0.123733337,0.123733337
TMLHE-AS1,100507404,0.104439221,0.123830074,0.123830074
NDUFS4,4724,0.027937748,0.12383239,0.12383239
ZC3H10,84872,0.001311288,0.123890308,0.123890308
UBALD2,283991,0.053127608,-0.124054565,0.124054565
SLC39A11,201266,0.091335318,-0.124150626,0.124150626
CMTM6,54918,0.018178788,0.124172864,0.124172864
CHMP1A,5119,0.013592966,-0.124173127,0.124173127
LMOD1,25802,0.46250575,-0.124175807,0.124175807
SNORA19,641451,0.23788874,-0.124262912,0.124262912
PCGF3,10336,0.001991268,0.124351421,0.124351421
PWWP3B,139221,0.688674434,0.124369792,0.124369792
CTDSP2,10106,0.000613659,-0.124514161,0.124514161
PIK3C2A,5286,0.000247446,-0.124619689,0.124619689
ZNF594,84622,0.015624835,-0.124623897,0.124623897
ZNF610,162963,0.172566387,-0.124634309,0.124634309
RABGEF1,27342,0.023700784,-0.124673386,0.124673386
MAFF,23764,0.537004846,-0.124733012,0.124733012
RHOT2,89941,0.002538316,0.1247726,0.1247726
HOOK3,84376,0.000223437,0.124775003,0.124775003
LINC01395,101929557,0.493768535,0.124849241,0.124849241
TDRD3,81550,0.008845039,0.12495134,0.12495134
TMEM269,100129924,0.151231504,0.125028174,0.125028174
CBWD5,220869,0.076796984,0.125060917,0.125060917
KCNV2,169522,0.175750896,0.12506831,0.12506831
F2RL2,2151,0.194356928,0.125092399,0.125092399
SENP2,59343,0.005169933,-0.125114553,0.125114553
DUBR,344595,0.032962822,0.125220048,0.125220048
NIT1,4817,0.021848188,-0.125227445,0.125227445
PRKG1,5592,0.259899144,0.125292487,0.125292487
PTPRG,5793,0.122370598,-0.125386807,0.125386807
SRSF3,6428,0.000828275,0.125439493,0.125439493
TAF13,6884,0.048226496,-0.125565584,0.125565584
LINC02728,101928865,0.141535686,-0.125644158,0.125644158
CBY1,25776,0.001034195,-0.125654889,0.125654889
MYL12B,103910,0.01160163,-0.125766734,0.125766734
ERVFRD-1,405754,0.049969347,-0.125827982,0.125827982
BAZ2A,11176,0.038823153,0.125942147,0.125942147
ZNF805,390980,8.24e-05,0.125969527,0.125969527
METTL2A,339175,0.000459006,0.126088875,0.126088875
TARBP2,6895,0.030120723,-0.126148433,0.126148433
LRRC34,151827,0.166892779,-0.126166595,0.126166595
EEF1AKMT3,25895,0.240006189,-0.126170435,0.126170435
ARHGEF17,9828,0.049400987,0.126295393,0.126295393
CBX1,10951,0.003785613,0.126375441,0.126375441
NEPRO,25871,0.000955979,0.12637736,0.12637736
DTNA,1837,0.282400107,0.12640745,0.12640745
EFCAB10,100130771,0.121370501,0.126551393,0.126551393
KLHDC8B,200942,0.025970298,0.126722051,0.126722051
ZDHHC4,55146,0.013176694,0.126813427,0.126813427
TAS2R13,50838,0.073138381,-0.126814816,0.126814816
MGP,4256,0.392588187,0.126826936,0.126826936
PBOV1,59351,0.482547907,0.126862016,0.126862016
RHOQ,23433,0.033255943,0.126900305,0.126900305
RCOR1,23186,0.007842908,0.12695577,0.12695577
OPA1,4976,0.001342378,-0.126981417,0.126981417
SCRN3,79634,0.00411341,-0.126982521,0.126982521
EIF4G3,8672,0.001725084,0.127028061,0.127028061
PPP1R12B,4660,0.088179501,-0.127114763,0.127114763
ARHGAP17,55114,0.010121589,0.127139497,0.127139497
SPAG7,9552,0.003297253,-0.127412748,0.127412748
STXBP1,6812,0.284673217,-0.12742524,0.12742524
METTL16,79066,1.4e-05,0.127440866,0.127440866
RAMP2-AS1,100190938,0.244527932,-0.12744256,0.12744256
WRNIP1,56897,0.002149459,-0.12745415,0.12745415
RTCA,8634,0.010769167,-0.127491933,0.127491933
KIF26A,26153,0.442929646,0.127530168,0.127530168
KANSL2,54934,0.00094224,0.127532213,0.127532213
AGFG1,3267,0.022399033,0.127553958,0.127553958
KCTD10,83892,0.011608291,0.127575316,0.127575316
IPPK,64768,0.02291376,-0.127644358,0.127644358
AMMECR1L,83607,0.0022701,0.12777782,0.12777782
PUSL1,126789,0.053424877,-0.127799585,0.127799585
GOLGA7,51125,0.020720203,0.127803001,0.127803001
