gene_name,entrezgene_id,padj,Diff
ACSM2B,348158,1.27e-21,-0.971240148
ACSM3,6296,6.31e-09,-0.720219107
ACSM4,341392,9.98e-19,-1.399053009
ACSM5,54988,4.18e-09,-1.750508589
ACSM6,142827,3.8e-18,-0.97173439
ACSS1,84532,1.19e-07,3.781567575
ACSS2,55902,1.53e-05,-1.989542991
ACTA1,58,4.93e-21,2.355216594
ACTB,60,2.41e-05,-0.44570685
ACTBL2,345651,1.1e-37,-2.472106048
ACTG1,71,5.54e-06,3.159604639
ACTG1P17,283693,1.7e-08,-2.889652916
ACTG2,72,2.54e-16,-1.120272307
ACTL10,170487,0.000140914,-0.479615052
ACTL7A,10881,0.001355508,-0.239987709
ACTL7B,10880,5.21e-19,-0.691902264
ACTL8,81569,7.79e-44,-1.642166675
ACTL9,284382,1.43e-12,1.433481801
ACTN1,87,1.04e-17,-1.880725912
ACTR1B,10120,1.73e-27,-0.744649673
ACTR3,10096,1.65e-06,-2.895488038
ACTR3C,653857,0.005782744,-2.02837514
ACTR5,79913,1.41e-20,0.7411822
ACTR8,93973,1.13e-11,0.79876839
ACTRT1,139741,4.43e-18,-1.725479832
ACTRT2,140625,1.83e-26,-2.096412032
ACVR1,90,3.25e-29,1.91996077
ACVR2A,92,6.89e-05,2.999545073
ACVRL1,94,2.41e-06,1.650321474
ACY3,91703,5.25e-30,-0.892823479
ACYP1,97,5.18e-06,-0.837425386
ADA,100,6.12e-50,-3.817939571
ADAD1,132612,3.69e-14,-0.938807557
ADAD2,161931,1.23e-38,-1.316087512
ADAL,161823,0.001588691,2.909681755
ADAM11,4185,4.91e-27,-1.400931812
ADAM15,8751,2.38e-42,-1.069618395
ADAM18,8749,1.64e-12,-4.894639976
ADAM19,8728,2.04e-06,-3.044959614
ADAM2,2515,1.33e-06,-4.810798074
ADAM20,8748,0.011709593,-2.116394297
ADAM21,8747,1.08e-06,-0.578600867
ADAM21P1,145241,1.85e-05,-3.827551211
ADAM23,8745,2.19e-12,-5.821451854
ADAM28,10863,1.92e-10,-4.647171897
ADAM29,11086,0.000531075,-2.740014912
ADAM30,11085,3.17e-21,1.054288329
ADAM32,203102,4.88e-17,2.150942369
ADAM3A,1587,0.001547355,-3.275955457
ADAM5,255926,8.06e-05,-2.05089685
ADAM6,8755,1.09e-07,-0.395580119
ADAM7,8756,2.83e-35,-1.99020444
ADAM8,101,2.48e-15,-1.029598158
ADAM9,8754,1.18e-48,-2.224383742
ADAMDEC1,27299,4.23e-44,-1.814097109
ADAMTS10,81794,1.76e-05,2.245559836
ADAMTS13,11093,4e-29,-1.35653905
ADAMTS14,140766,0.002802988,-1.572100477
ADAMTS15,170689,3.54e-37,2.002214877
ADAMTS17,170691,4.32e-51,-2.064439417
ADAMTS18,170692,3.18e-39,-2.735414231
ADAMTS19,171019,3.29e-29,3.475703697
ADAMTS19-AS1,103689846,1.34e-23,1.804471395
ADAMTS2,9509,1.89e-27,-1.870421873
ADAMTS20,80070,2.95e-19,2.610937473
ADAMTS4,9507,2.05e-53,-2.161516725
ADAMTS5,11096,1.19e-18,1.540234034
ADAMTS6,11174,1.22e-15,-6.404094043
ADAMTS8,11095,2.35e-46,-1.534296234
ADAMTS9,56999,8.74e-41,1.789431623
ADAMTS9-AS1,101929335,0.007286877,1.663294082
ADAMTSL1,92949,1.07e-05,-2.177328257
ADAMTSL3,57188,1.51e-42,-1.864551905
ADAMTSL4,54507,2.05e-17,-1.408009563
ADAMTSL5,339366,1.5e-06,4.48756305
ADAP1,11033,1.94e-17,-2.448205301
ADAP2,55803,8.9e-23,-1.322256501
ADARB2,105,3.28e-56,-3.274921908
ADARB2-AS1,642394,2.7e-23,-1.571822202
ADAT1,23536,7.89e-45,-2.591003475
ADCK5,203054,8.22e-12,0.533460102
ADCY1,107,1.59e-27,-2.086133647
ADCY10,55811,0.009594819,2.544775759
ADCY10P1,221442,3.73e-25,-1.350044497
ADCY2,108,6.32e-30,-2.106542915
ADCY5,111,3.3e-55,-2.109891221
ADCY6,112,1.07e-13,1.562301164
ADCY7,113,6e-44,-1.686741492
ADCY9,115,1.72e-09,-3.143359293
ADCYAP1,116,3.74e-06,3.269003042
ADCYAP1R1,117,5.29e-07,-2.519990145
ADD2,119,3.01e-12,-6.110938723
ADD3,120,0.000121447,1.034233807
ADGB,79747,2.63e-09,-5.212530107
ADGRA1,84435,4.55e-29,-1.719156841
ADGRB1,575,4.04e-36,-1.559560684
ADGRB2,576,7.41e-20,-1.079435572
ADGRB3,577,1.68e-07,-4.070777824
ADGRD1,283383,2.07e-63,-3.208921846
ADGRE1,2015,1.35e-28,-1.384674739
ADGRE2,30817,4.06e-14,-1.0061607
ADGRE3,84658,1.79e-28,-1.795073202
ADGRE5,976,1.61e-42,-2.21086681
ADGRF2,222611,1.37e-34,-1.838366761
ADGRF3,165082,6.17e-08,-0.704285429
ADGRF4,221393,5.33e-37,-1.834190695
ADGRF5,221395,2.13e-45,-1.997504321
ADGRG1,9289,4.89e-37,1.761794886
ADGRG2,10149,8.82e-15,-1.185254104
